epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32932,1.96417,4.07777,1.57759,0.0303,0.18421,0.04105,0.01796,1.4057,3.78998,1.25689,1.429e-05,1.429e-05,1.429e-05
2,4.53268,1.99615,4.16988,1.61744,0.02634,0.25439,0.07415,0.03107,1.29507,3.77522,1.23973,4.07479e-05,4.07479e-05,4.07479e-05
3,6.54084,1.84014,4.42607,1.61933,0.02005,0.2807,0.0979,0.04403,1.27824,3.77209,1.22817,6.43764e-05,6.43764e-05,6.43764e-05
4,8.6707,1.785,3.85697,1.52118,0.01674,0.29825,0.13533,0.06441,1.27782,3.75921,1.21781,8.51755e-05,8.51755e-05,8.51755e-05
5,10.707,1.65369,3.97032,1.36671,0.01403,0.29825,0.15529,0.07312,1.30725,3.75418,1.18236,0.000103145,0.000103145,0.000103145
6,12.7302,1.36473,3.90948,1.38855,0.01403,0.29825,0.15529,0.07312,1.30725,3.75418,1.18236,0.000118285,0.000118285,0.000118285
7,14.8808,1.5024,3.83942,1.40732,0.01248,0.29825,0.1723,0.08209,1.24993,3.7408,1.15133,0.000130596,0.000130596,0.000130596
8,16.9823,1.4222,3.69506,1.26672,0.01244,0.29825,0.1617,0.08122,1.21142,3.65114,1.11271,0.000140078,0.000140078,0.000140078
9,18.8669,1.3554,3.52402,1.25276,0.01244,0.29825,0.1617,0.08122,1.21142,3.65114,1.11271,0.00014673,0.00014673,0.00014673
10,20.9593,1.50557,3.82924,1.3168,0.01235,0.29825,0.16748,0.08871,1.14706,3.61467,1.06333,0.000150552,0.000150552,0.000150552
11,22.9094,1.43433,3.8824,1.18089,0.01235,0.29825,0.16748,0.08871,1.14706,3.61467,1.06333,0.000151545,0.000151545,0.000151545
12,24.9769,1.39435,3.97343,1.26985,0.01303,0.36491,0.16447,0.08864,1.18555,3.57452,0.99628,0.000149709,0.000149709,0.000149709
13,26.8401,1.29812,3.86965,1.14039,0.01303,0.36491,0.16447,0.08864,1.18555,3.57452,0.99628,0.000145044,0.000145044,0.000145044
14,28.7819,1.36485,3.97793,1.17837,0.01303,0.36491,0.16447,0.08864,1.18555,3.57452,0.99628,0.000137548,0.000137548,0.000137548
15,30.8174,1.40466,3.81251,1.25989,0.01303,0.36491,0.1605,0.08631,1.19049,3.57979,1.01725,0.000127224,0.000127224,0.000127224
16,32.7112,1.25245,3.64035,1.12807,0.01303,0.36491,0.1605,0.08631,1.19049,3.57979,1.01725,0.00011407,0.00011407,0.00011407
17,34.5492,1.45085,3.77305,1.11064,0.01303,0.36491,0.1605,0.08631,1.19049,3.57979,1.01725,9.80866e-05,9.80866e-05,9.80866e-05
18,36.4328,1.50511,3.93595,1.36586,0.01224,0.29825,0.15439,0.08624,1.1434,3.55788,1.0124,7.92738e-05,7.92738e-05,7.92738e-05
19,38.378,1.58095,3.82494,1.20148,0.01224,0.29825,0.15439,0.08624,1.1434,3.55788,1.0124,5.76316e-05,5.76316e-05,5.76316e-05
20,40.2563,1.32449,3.85599,1.34027,0.01224,0.29825,0.15439,0.08624,1.1434,3.55788,1.0124,3.31599e-05,3.31599e-05,3.31599e-05
