epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5514,1.00962,7.76129,1.08088,0.00439,0.4386,0.15034,0.09252,0.84259,18.0826,0.88293,0.00037154,0.00037154,0.00037154
2,193.472,1.04467,7.97597,1.06591,0.00781,0.72212,0.21765,0.14451,1.02639,17.8733,1.04411,0.000738625,0.000738625,0.000738625
3,283.791,1.17768,7.09255,1.13833,0.65386,0.03509,0.36978,0.23446,0.98442,17.2243,1.02889,0.00108661,0.00108661,0.00108661
4,372.574,1.11416,7.31567,1.16259,0.76047,0.20606,0.4406,0.26107,1.0163,16.512,1.00744,0.0013229,0.0013229,0.0013229
5,460.287,1.19808,6.95976,1.23305,0.42367,0.51009,0.44523,0.28575,1.09309,16.0026,1.03318,0.00128753,0.00128753,0.00128753
6,549.046,1.12633,7.25095,1.13713,0.48592,0.51497,0.48166,0.3167,1.1319,15.642,1.10832,0.00125216,0.00125216,0.00125216
7,638.424,1.2114,6.59817,1.20462,0.36001,0.47701,0.42602,0.29477,1.03515,14.2323,1.04462,0.00121679,0.00121679,0.00121679
8,725.89,1.0936,7.2748,1.15822,0.49313,0.55006,0.52046,0.35591,0.96147,13.3536,1.02359,0.00118143,0.00118143,0.00118143
9,814.541,1.05233,5.32288,1.12293,0.54992,0.55501,0.56065,0.38336,1.01136,13.0402,1.00909,0.00114606,0.00114606,0.00114606
10,908.582,1.06603,5.09403,1.15511,0.47104,0.65526,0.54632,0.37732,0.9684,12.5246,0.98193,0.00111069,0.00111069,0.00111069
11,998.602,1.08201,5.96839,1.1326,0.55121,0.61669,0.5821,0.41451,0.88267,11.2573,0.95346,0.00107532,0.00107532,0.00107532
12,1087.92,1.0766,5.33953,1.09156,0.58871,0.63463,0.62447,0.44645,0.93745,10.8624,0.97294,0.00103995,0.00103995,0.00103995
13,1184.5,1.13544,6.50055,1.17862,0.48417,0.66523,0.59984,0.44636,0.92276,10.2204,0.93104,0.00100459,0.00100459,0.00100459
14,1282.81,1.03432,5.5891,1.09864,0.53009,0.67345,0.63314,0.46041,0.97177,10.2005,0.94401,0.000969219,0.000969219,0.000969219
15,1382.24,0.99769,4.45247,1.09961,0.61108,0.6876,0.65987,0.49436,0.94186,10.0693,0.92775,0.000933851,0.000933851,0.000933851
16,1480.12,0.98609,4.98744,1.04657,0.6368,0.71241,0.6916,0.53907,0.82816,9.54465,0.89824,0.000898484,0.000898484,0.000898484
17,1582.63,1.02606,4.25753,1.06706,0.64818,0.73943,0.68583,0.53715,0.86502,9.29674,0.90592,0.000863116,0.000863116,0.000863116
18,1684,0.92671,4.32763,1.04788,0.67189,0.72513,0.72618,0.58177,0.81413,8.87091,0.87621,0.000827748,0.000827748,0.000827748
19,1789.17,0.93203,4.08575,1.02404,0.70857,0.756,0.75374,0.59176,0.85217,8.98141,0.87468,0.00079238,0.00079238,0.00079238
20,1889.52,1.02901,4.34521,1.09633,0.73448,0.74117,0.76341,0.59327,0.84544,8.68414,0.89364,0.000757013,0.000757013,0.000757013
21,1991.58,0.90979,4.48454,1.0476,0.70986,0.70219,0.78244,0.63233,0.77716,8.20813,0.89092,0.000721645,0.000721645,0.000721645
22,2091.87,0.9284,4.65911,1.02292,0.73823,0.66366,0.7662,0.6048,0.76452,8.02635,0.89017,0.000686277,0.000686277,0.000686277
23,2191.48,0.9561,3.8068,1.03942,0.69899,0.71096,0.74018,0.57693,0.77927,7.89907,0.87239,0.000650909,0.000650909,0.000650909
24,2293.69,0.91124,3.53721,1.01906,0.68229,0.67885,0.74838,0.59742,0.743,7.88601,0.90933,0.000615542,0.000615542,0.000615542
25,2391.86,0.95713,3.6839,1.08599,0.64254,0.72478,0.77285,0.625,0.73313,7.84846,0.89778,0.000580174,0.000580174,0.000580174
