images,blur_object,deblur_object,blur_conf,deblur_conf
000131.png,13,11,0.5449834695229163,0.5848968923091888
000132.png,13,12,0.5346727600464454,0.4811900506416957
000133.png,7,11,0.6066675143582481,0.46359680728478864
000134.png,8,8,0.6919747814536095,0.5324313715100288
000135.png,11,8,0.5255172225562009,0.6462832614779472
000136.png,12,10,0.5562728494405746,0.49408787190914155
000137.png,12,10,0.5304325148463249,0.5471666395664215
000138.png,12,12,0.6092379540205002,0.5249700968464216
000139.png,12,13,0.5763951763510704,0.5398923640067761
000140.png,12,15,0.6327049533526102,0.5187008361021678
000141.png,11,10,0.6740790199149739,0.6456805139780044
000142.png,11,10,0.5742346292192285,0.48209995925426485
000143.png,10,11,0.5903031975030899,0.4510970169847662
000144.png,12,10,0.5645714278022448,0.6695794552564621
000145.png,11,10,0.6508356305685911,0.6095442712306977
000146.png,11,9,0.6100297353484414,0.6319290333324008
000147.png,11,8,0.5395859452811155,0.6011642180383205
000148.png,11,10,0.5935268943960016,0.6013567924499512
000149.png,12,9,0.5629262626171112,0.6152777340677049
000150.png,10,9,0.5228422373533249,0.5187533663378822
000151.png,11,9,0.5256733948534186,0.5248337586720785
000152.png,10,10,0.5453087240457535,0.5648301094770432
000153.png,11,8,0.5733706571839072,0.6566373370587826
000154.png,12,9,0.5838642939925194,0.6031474967797598
000155.png,11,9,0.6209569817239587,0.6760860019259982
000156.png,11,12,0.685937453400005,0.5983239387472471
000157.png,12,12,0.6479243636131287,0.5915483186642329
000158.png,13,11,0.5802535185447106,0.5617282661524686
000159.png,13,9,0.5844901043635148,0.666071183151669
000160.png,13,12,0.6151624895059146,0.5768014937639236
000161.png,11,12,0.6172390851107511,0.5669667522112528
000162.png,10,9,0.5790380090475082,0.6440486874845293
000163.png,10,11,0.611053591966629,0.5991099395535209
000164.png,12,10,0.5525348509351412,0.543369996547699
000165.png,11,9,0.5830022232099012,0.6214681698216332
000166.png,12,11,0.5815381606419882,0.5842774645848707
000167.png,12,12,0.5473058770100275,0.47776273389657337
000168.png,8,10,0.6055967509746552,0.5552556782960891
000169.png,8,9,0.6271973811089993,0.5552998648749458
000170.png,10,9,0.5528534919023513,0.5560861627260844
000171.png,8,10,0.6388955302536488,0.5549553275108338
000172.png,8,7,0.6623046845197678,0.6839200726577214
000173.png,9,9,0.6397213770283593,0.6077857580449846
000174.png,8,7,0.6017614230513573,0.6222765871456691
000175.png,9,8,0.6140767700142331,0.5731218531727791
000176.png,10,7,0.530978924036026,0.6423689339842115
000177.png,8,8,0.6334470883011818,0.5469388552010059
000178.png,8,10,0.6330921277403831,0.5250459879636764
000179.png,11,10,0.5188342549584128,0.5111602067947387
000180.png,11,11,0.5707028616558422,0.5145833465186033
000181.png,1,1,0.2574348449707031,0.31076300144195557
000182.png,0,1,0.0,0.37080615758895874
000183.png,0,0,0.0,0.0
000184.png,0,0,0.0,0.0
000185.png,0,1,0.0,0.27059388160705566
000186.png,3,2,0.46118733286857605,0.35089990496635437
000187.png,1,1,0.3046490252017975,0.2558057904243469
000188.png,0,0,0.0,0.0
000189.png,0,1,0.0,0.506946861743927
000190.png,0,2,0.0,0.38096271455287933
000191.png,1,2,0.4690644443035126,0.30077044665813446
000192.png,2,2,0.5217224061489105,0.5487960427999496
000193.png,0,0,0.0,0.0
000194.png,0,0,0.0,0.0
000195.png,0,0,0.0,0.0
000196.png,3,0,0.3605838119983673,0.0
000197.png,1,1,0.5844159126281738,0.5574926733970642
000198.png,0,0,0.0,0.0
000199.png,1,1,0.26758745312690735,0.29356783628463745
000200.png,0,1,0.0,0.27909454703330994
000201.png,3,3,0.47036585211753845,0.40878881017367047
000202.png,2,3,0.44392265379428864,0.4222472012042999
000203.png,0,1,0.0,0.6317411661148071
000204.png,3,3,0.4424609839916229,0.522961308558782
000205.png,3,3,0.4819583495457967,0.45401565233866376
000206.png,0,0,0.0,0.0
000207.png,1,1,0.39317113161087036,0.30516138672828674
000208.png,2,2,0.6973298192024231,0.6602100431919098
000209.png,4,3,0.4870911166071892,0.4821740686893463
000210.png,3,3,0.4352455635865529,0.31959375739097595
000211.png,2,1,0.5122270733118057,0.7114716172218323
000212.png,3,2,0.44381460547447205,0.6101846396923065
000213.png,2,2,0.5805510580539703,0.5533740222454071
000214.png,2,1,0.4133249670267105,0.516674280166626
000215.png,1,1,0.3653421401977539,0.4910605251789093
000216.png,1,1,0.25516653060913086,0.2692966163158417
000217.png,2,1,0.4905264973640442,0.3481896221637726
000218.png,1,0,0.37885645031929016,0.0
000219.png,2,2,0.5799750834703445,0.47710178792476654
000220.png,3,2,0.5751701494057974,0.5398999154567719
000221.png,0,1,0.0,0.4174264073371887
000222.png,4,3,0.4334084019064903,0.48454876740773517
000223.png,2,2,0.49059902131557465,0.3914943188428879
000224.png,3,4,0.5732334752877554,0.4501052796840668
000225.png,2,0,0.4368937313556671,0.0
000226.png,2,2,0.5838756710290909,0.46490566432476044
000227.png,1,0,0.25467512011528015,0.0
000228.png,0,0,0.0,0.0
000229.png,0,0,0.0,0.0
000230.png,1,0,0.3584677278995514,0.0
